objectid,parentid,title,creator,date,object type,description,subject,current location,former location,format,display_template,object_location,image_small,image_thumb,object_transcript,notes,@
demo_001,dpid_0001,Item Name,"Smith, John; Doe, Jane",yyyy-mm-dd,"bulletin, etc",description of the item,key words,my series/ box number,"mrs. bogdan's binders, etc",image/png,image,/objects/demo_001.jpg,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg,,,
id_0001,,Portrait of Reverend W. Howard Roberson,,1955-1975,image,Black and White Portrait of Rev. W. Howard Roberson,Pastor; Portrait; Reverend; Roberson,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0001.png,/objects/small/id_0001.png,/objects/thumbs/id_0001.png,,,
id_0002,,Man and Woman with Refreshments,,1971-09,image,Man and woman pose for photo with refreshments,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0002.png,/objects/small/id_0002.png,/objects/thumbs/id_0002.png,,,
id_0003,,Women Posing for Photograph,,1971-09,image,Two women pose in front of a wood panel wall,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0003.png,/objects/small/id_0003.png,/objects/thumbs/id_0003.png,,,
id_0004,,Man and Woman Posing for Photograph,,1971-09,image,Man poses with his arm around a woman,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0004.png,/objects/small/id_0004.png,/objects/thumbs/id_0004.png,,,
id_0005,,Group Portrait,,1971-09,image,Seated man and woman pose with standing boy and girl,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0005.png,/objects/small/id_0005.png,/objects/thumbs/id_0005.png,,,
id_0006,,Group Portrait,,1971-09,image,Man and woman pose together seated,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0006.png,/objects/small/id_0006.png,/objects/thumbs/id_0006.png,,,
id_0007,,Group Portrait,,1971-09,image,Two standing men smile behind three seated women,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0007.png,/objects/small/id_0007.png,/objects/thumbs/id_0007.png,,,
id_0008,,Group Portrait,,1971-09,image,Two seated women smile for a photograph,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0008.png,/objects/small/id_0008.png,/objects/thumbs/id_0008.png,,,
id_0009,,Women Fellowshipping,,1971-09,image,A woman smiles at the camera as other women enjoy refreshments,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0009.png,/objects/small/id_0009.png,/objects/thumbs/id_0009.png,,,
id_0010,,Family Portrait,,1971-09,image,Man and woman pose with a baby outside of the church at 18th and Spring Garden Streets,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0010.png,/objects/small/id_0010.png,/objects/thumbs/id_0010.png,,,
id_0011,,Man Speaks at Microphone,,1955-1975,image,Man rises to give speech from head table while others are seated,Speech; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0011.png,/objects/small/id_0011.png,/objects/thumbs/id_0011.png,,,
id_0012,,Woman Plays Banjo,,1955-1975,image,A woman in sunglasses plays a banjo while a crowd watches,Music; Fellowship; Worship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0012.png,/objects/small/id_0012.png,/objects/thumbs/id_0012.png,,,
id_0013,,Group Delivers Speech,,1955-1975,image,Two women and a man with a yarmulke give a speech into a microphone in front of a crowd,Fellowship; Speech,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0013.png,/objects/small/id_0013.png,/objects/thumbs/id_0013.png,,,
id_0014,,Man and Woman Pose with Boy and Girl,,1969-11,image,"A man plays piano, women hold signs with song lyrics, and others sing and clap for a seated child audience",Worship; Music; Service; Vacation Bible School; VBS,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0014.png,/objects/small/id_0014.png,/objects/thumbs/id_0014.png,,,
id_0015,,Man and Woman Pose Together,,1969-11,image,Three men sit at a table together in front of filing cabinets,Business; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0015.png,/objects/small/id_0015.png,/objects/thumbs/id_0015.png,,,
id_0016,,Group Poses for Photograph,,1969-11,image,A group of four women and one man pose together,Fellowship; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0016.png,/objects/small/id_0016.png,/objects/thumbs/id_0016.png,,,
id_0017,,Two Women Smile for Photograph,,1969-11,image,Two women and three men pose for a photograph,Fellowship; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0017.png,/objects/small/id_0017.png,/objects/thumbs/id_0017.png,,,
id_0018,,Woman Poses as Refreshments are Served,,1955-1975,image,A man and woman smile while grabbing pieces of cake,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0018.png,/objects/small/id_0018.png,/objects/thumbs/id_0018.png,,,
id_0019,,Man and Woman with Baby,,1955-1975,image,A line of people serve themselves desserts,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0019.png,/objects/small/id_0019.png,/objects/thumbs/id_0019.png,,,
id_0020,,Man Gives Speech,,1955-1975,image,Two women and a man are photgraphed outside of a brick building with stained glass windows,Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0020.png,/objects/small/id_0020.png,/objects/thumbs/id_0020.png,,,
id_0021,,Woman Plays Banjo for Crowd,,1955-1975,image,"A bride and groom stand with bridesmaids, groomsmen, and flower girls",Portrait; Wedding; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0021.png,/objects/small/id_0021.png,/objects/thumbs/id_0021.png,,,
id_0022,,Two Women and a Man Give a Speech,,1955-1975,image,Bride and groom speak surrounded by wedding party,Wedding; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0022.png,/objects/small/id_0022.png,/objects/thumbs/id_0022.png,,,
id_0023,,Bride and Groom Leave Wedding,,1955-1975,image,Bride and groom exist church at 18th and Spring Garden Streets,Wedding; Fellowship; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0023.png,/objects/small/id_0023.png,/objects/thumbs/id_0023.png,,,
id_0024,,Bride and Groom Leave Wedding,,1955-1975,image,Bride and groom walk out of the church at 18th and Spring Garden Streets,Wedding; Fellowship; Portrait; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0024.png,/objects/small/id_0024.png,/objects/thumbs/id_0024.png,,,
id_0025,,Bride Poses with Couple,,1955-1975,image,Bride poses with woman and Pastor Roberson,Wedding; Portrait; Bride,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0025.png,/objects/small/id_0025.png,/objects/thumbs/id_0025.png,,Couple posing with the bride are like Mr. and Mrs. Roberson,
id_0026,,Bride and Groom Pose with Ringbearer,,1955-1975,image,"Bride and groom are surrounded with foliage in the sanctuary, and pose for a photograph with a young ringbearer",Wedding; Portrait; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0026.png,/objects/small/id_0026.png,/objects/thumbs/id_0026.png,,,
id_0027,,Group Roasts Hotdogs,,1965-12-11,image,A group roasts hotdogs around a campfire,Fellowship; Homecoming; Retreat,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0027.png,/objects/small/id_0027.png,/objects/thumbs/id_0027.png,,"Photo likely comes from Highway Crusader Homecoming, as the photograph was stored alongside an event reminder",
id_0028,,Group Roasts Hotdogs,,1965-12-11,image,A group roasts hotdogs around a campfire,Fellowship; Homecoming; Retreat,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0028.png,/objects/small/id_0028.png,/objects/thumbs/id_0028.png,,"Photo likely comes from Highway Crusader Homecoming, as the photograph was stored alongside an event reminder",
id_0029,,Date Card for Highway Homecoming,,1965-12-11,date card,"Eleanor Geisler's card that details a December 11, 1956 Highway Crusader Homecoming in Philadelphia",Fellowship; Homecoming; Retreat,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0029.png,/objects/small/id_0029.png,/objects/thumbs/id_0029.png,,,
id_0030,pid_0001,Highway Home for the Aged Christmas Service,,1968-12-07,image,Fellowship of people with Christmas decorations,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0030.png,/objects/small/id_0030.png,/objects/thumbs/id_0030.png,,,
id_0031,pid_0001,Highway Home for the Aged Christmas Service,,1968-12-07,image description,,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0031.png,/objects/small/id_0031.png,/objects/thumbs/id_0031.png,"""Dad Robertson, Sister Overstreet and other ladies at Highway Home for Aged Dec 7,1968""",,
id_0032,pid_0002,Highway Home for the Aged Christmas Service,,1968-12-07,image,Two women seated with a table of wrapped Christmas presents,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0032.png,/objects/small/id_0032.png,/objects/thumbs/id_0032.png,,,
id_0033,pid_0002,Highway Home for the Aged Christmas Service,,1968-12-07,image description,,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0033.png,/objects/small/id_0033.png,/objects/thumbs/id_0033.png,"""Mrs. Elmer Day and Mrs. H. Roberson Highway Home for the Aged Christmas Service Dec 7, 1968""",,
id_0034,,Man and Woman Seated,,1955-1975,image,A seated man and woman smile for a photograph with flowers in the background,Portrait; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0034.png,/objects/small/id_0034.png,/objects/thumbs/id_0034.png,,"Photo likely from Highway Home for the Aged's 1968 Christmas Service, as the photos are placed together in their original storage",
id_0035,,Three Women Having Refreshments,,1955-1975,image,Three women smile while picking up pastries,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0035.png,/objects/small/id_0035.png,/objects/thumbs/id_0035.png,,"Photo likely from Highway Home for the Aged's 1968 Christmas Service, as the photos are placed together in their original storage",
id_0036,,Women Enjoying Refreshments,,1955-1975,image,Four women eating together,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0036.png,/objects/small/id_0036.png,/objects/thumbs/id_0036.png,,"Photo likely from Highway Home for the Aged's 1968 Christmas Service, as the photos are placed together in their original storage",
id_0037,pid_0003,Refreshments at Highway Home for the Aged Christmas Service,,1968-12-07,image,Two women slice cakes,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0037.png,/objects/small/id_0037.png,/objects/thumbs/id_0037.png,,,
id_0038,pid_0003,Refreshments at Highway Home for the Aged Christmas Service,,1968-12-07,image,,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0038.png,/objects/small/id_0038.png,/objects/thumbs/id_0038.png,"""Mrs Geisler and Mrs McClay Highway Home for Aged Christmas service Dec 7, 1968""",,
id_0039,pid_0004,Woman Speaks at Highway Home for the Aged Christmas Service,,1968-12-07,image,Woman speaks at a podium,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0039.png,/objects/small/id_0039.png,/objects/thumbs/id_0039.png,,,
id_0040,pid_0004,Woman Speaks at Highway Home for the Aged Christmas Service,,1968-12-07,image description,,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0040.png,/objects/small/id_0040.png,/objects/thumbs/id_0040.png,"""Mom Roberson Highway Home for Aged Christmas service Dec 7, 1968""",,
id_0041,pid_0005,Pastor Roberson Speaks at Highway Home for the Aged Christmas Service,,1968-12-07,image,Pastor Roberson addresses a group of people,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0041.png,/objects/small/id_0041.png,/objects/thumbs/id_0041.png,,,
id_0042,pid_0005,Pastor Roberson Speaks at Highway Home for the Aged Christmas Service,,1968-12-07,image description,,Fellowship; Christmas; Highway Home for the Aged,,Roberson: HWY's 100 Year Anniversary,image/png,compound_object,/objects/id_0042.png,/objects/small/id_0042.png,/objects/thumbs/id_0042.png,"""Dad Roberson Highway Home for Aged Christmas service Dec 7, 1968""",,
id_0043,,Mission Tabernacle Gets Tailor's Estate,,1958,newspaper clipping,Newspaper clipping detailing inherited church property,Estate; Property; Will,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0043.png,/objects/small/id_0043.png,/objects/thumbs/id_0043.png,"""Mission Tabernacle Get's Tailor's Estate. The Highway Mission Tabernacle, which had its beginnings 64 yeards ago in preaching services in tge streets from a Gospel Wagon, is the chief beneficiary of a former women's tailor who died May 10 at the age of 80. Antonio Berardi, who lived at 1916 S. 22nd st. for many years, left his estate, estimated for probate purposes at $51,000, to the Tabernacle, now located at 19th and Green sts. Berardi was employed at the Blum Store for a number of years before his retirement about 12 years ago. He named John Deisher executor of his estate.""",,
id_0044,,Family Portrait,,1969-05,image,"A man, woman, and child outside of the building at 18th and Spring Garden Streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0044.png,/objects/small/id_0044.png,/objects/thumbs/id_0044.png,,,
id_0045,,Family Portrait,,1969-05,image,"A man, woman, child, and baby outside of the building at 18th and Spring Garden Streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0045.png,/objects/small/id_0045.png,/objects/thumbs/id_0045.png,,,
id_0046,,Family Portrait,,1969-05,image,Two older women and a man outside of the building at 18th and Spring Garden Streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0046.png,/objects/small/id_0046.png,/objects/thumbs/id_0046.png,,,
id_0047,,Family Portrait,,1969-05,image,"A man, woman, boy, and girl outside of the church at 18th and Spring Garden Streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0047.png,/objects/small/id_0047.png,/objects/thumbs/id_0047.png,,,
id_0048,,Family Portrait,,1969-05,image,A man and woman with three boys and two girls outside of the building at 18th and Spring Garden streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0048.png,/objects/small/id_0048.png,/objects/thumbs/id_0048.png,,,
id_0049,,Family Portrait,,1969-05,image,A man and a woman with a boy and a girl outside of the building at 18th and Spring Garden streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0049.png,/objects/small/id_0049.png,/objects/thumbs/id_0049.png,,,
id_0050,,Family Portrait,,1969-05,image,"A man, woman, and two boys outside of the building at 18th and Spring Garden streets",Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0050.png,/objects/small/id_0050.png,/objects/thumbs/id_0050.png,,,
id_0051,,Family Portrait,,1969-05,image,Two boys outside of the building at 18th and Spring Garden streets,Portrait; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0051.png,/objects/small/id_0051.png,/objects/thumbs/id_0051.png,,,
id_0052,,Bride Enters Her Wedding,,1969-06,image,A bride waits to be walked down the aisle,Wedding; Bride,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0052.png,/objects/small/id_0052.png,/objects/thumbs/id_0052.png,,,
id_0053,,Wedding Reception,,1969-06,image,A wedding party sits at a table with a wedding cake,Wedding; Fellowship; Family; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0053.png,/objects/small/id_0053.png,/objects/thumbs/id_0053.png,,,
id_0054,,Group in Front of Services Listing,,1955-1975,image,"A man, woman, and baby smile in front of a sign that lists Highway's upcoming services",Portrait; Services; Family,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0054.png,/objects/small/id_0054.png,/objects/thumbs/id_0054.png,,,
id_0055,,Women Posed for Photograph,,1968-05,image,Two older women smile together,Portrait; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0055.png,/objects/small/id_0055.png,/objects/thumbs/id_0055.png,,,
