objectid,parentid,title,creator,date,object type,description,subject,current location,former location,format,display_template,object_location,image_small,image_thumb,object_transcript,notes,@
demo_001,dpid_0001,Item Name,"Smith, John; Doe, Jane",yyyy-mm-dd,"bulletin, etc",description of the item,key words,my series/ box number,"mrs. bogdan's binders, etc",image/png,image,/objects/demo_001.jpg,/objects/small/demo_001_sm.jpg,/objects/thumbs/demo_001_th.jpg,,,
id_0001,,Portrait of Reverend W. Howard Roberson,,1955-01-01,image,Black and White Portrait of Rev. W. Howard Roberson,Pastor; Portrait; Reverend; Roberson,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0001.png,/objects/small/id_0001.png,/objects/thumbs/id_0001.png,,,
id_0002,,Man and Woman with Refreshments,,1971-09-01,image,Man and woman pose for photo with refreshments,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0002.png,/objects/small/id_0002.png,/objects/thumbs/id_0002.png,,,
id_0003,,Women Posing for Photograph,,1971-09-01,image,Two women pose in front of a wood panel wall,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0003.png,/objects/small/id_0003.png,/objects/thumbs/id_0003.png,,,
id_0004,,Man and Woman Posing for Photograph,,1971-09-01,image,Man poses with his arm around a woman,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0004.png,/objects/small/id_0004.png,/objects/thumbs/id_0004.png,,,
id_0005,,Group Portrait,,1971-09-01,image,Seated man and woman pose with standing boy and girl,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0005.png,/objects/small/id_0005.png,/objects/thumbs/id_0005.png,,,
id_0006,,Group Portrait,,1971-09-01,image,Man and woman pose together seated,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0006.png,/objects/small/id_0006.png,/objects/thumbs/id_0006.png,,,
id_0007,,Group Portrait,,1971-09-01,image,Two standing men smile behind three seated women,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0007.png,/objects/small/id_0007.png,/objects/thumbs/id_0007.png,,,
id_0008,,Group Portrait,,1971-09-01,image,Two seated women smile for a photograph,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0008.png,/objects/small/id_0008.png,/objects/thumbs/id_0008.png,,,
id_0009,,Women Fellowshipping,,1971-09-01,image,A woman smiles at the camera as other women enjoy refreshments,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0009.png,/objects/small/id_0009.png,/objects/thumbs/id_0009.png,,,
id_0010,,Family Portrait,,1971-09-01,image,Man and woman pose with a baby outside of the church at 18th and Spring Garden Streets,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0010.png,/objects/small/id_0010.png,/objects/thumbs/id_0010.png,,,
id_0011,,Man Speaks at Microphone,,1955-01-01,image,Man rises to give speech from head table while others are seated,Speech; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0011.png,/objects/small/id_0011.png,/objects/thumbs/id_0011.png,,,
id_0012,,Woman Plays Banjo,,1955-01-01,image,A woman in sunglasses plays a banjo while a crowd watches,Music; Fellowship; Worship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0012.png,/objects/small/id_0012.png,/objects/thumbs/id_0012.png,,,
id_0013,,Group Delivers Speech,,1955-01-01,image,Two women and a man with a yarmulke give a speech into a microphone in front of a crowd,Fellowship; Speech,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0013.png,/objects/small/id_0013.png,/objects/thumbs/id_0013.png,,,
id_0014,,Man and Woman Pose with Boy and Girl,,1969-11-01,image,"A man plays piano, women hold signs with song lyrics, and others sing and clap for a seated child audience",Worship; Music; Service; Vacation Bible School; VBS,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0014.png,/objects/small/id_0014.png,/objects/thumbs/id_0014.png,,,
id_0015,,Man and Woman Pose Together,,1969-11-01,image,Three men sit at a table together in front of filing cabinets,Business; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0015.png,/objects/small/id_0015.png,/objects/thumbs/id_0015.png,,,
id_0016,,Group Poses for Photograph,,1969-11-01,image,A group of four women and one man pose together,Fellowship; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0016.png,/objects/small/id_0016.png,/objects/thumbs/id_0016.png,,,
id_0017,,Two Women Smile for Photograph,,1969-11-01,image,Two women and three men pose for a photograph,Fellowship; Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0017.png,/objects/small/id_0017.png,/objects/thumbs/id_0017.png,,,
id_0018,,Woman Poses as Refreshments are Served,,1955-01-01,image,A man and woman smile while grabbing pieces of cake,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0018.png,/objects/small/id_0018.png,/objects/thumbs/id_0018.png,,,
id_0019,,Man and Woman with Baby,,1955-01-01,image,A line of people serve themselves desserts,Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0019.png,/objects/small/id_0019.png,/objects/thumbs/id_0019.png,,,
id_0020,,Man Gives Speech,,1955-01-01,image,Two women and a man are photgraphed outside of a brick building with stained glass windows,Portrait,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0020.png,/objects/small/id_0020.png,/objects/thumbs/id_0020.png,,,
id_0021,,Woman Plays Banjo for Crowd,,1955-01-01,image,"A bride and groom stand with bridesmaids, groomsmen, and flower girls",Portrait; Wedding; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0021.png,/objects/small/id_0021.png,/objects/thumbs/id_0021.png,,,
id_0022,,Two Women and a Man Give a Speech,,1955-01-01,image,Bride and groom speak surrounded by wedding party,Wedding; Fellowship,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0022.png,/objects/small/id_0022.png,/objects/thumbs/id_0022.png,,,
id_0023,,Bride and Groom Leave Wedding,,1955-01-01,image,Bride and groom exist church at 18th and Spring Garden Streets,Wedding; Fellowship; Bride; Groom,,Roberson: HWY's 100 Year Anniversary,image/png,image,/objects/id_0023.png,/objects/small/id_0023.png,/objects/thumbs/id_0023.png,,,
